Group ID,Graph Type,Source,Target,Weight,Weight-normalized,Relation
group-1,proximity,A,B,207,0.22690992,proximity_count
group-1,proximity,A,C,155,0.167616876,proximity_count
group-1,proximity,A,D,182,0.198403649,proximity_count
group-1,proximity,B,C,62,0.061573546,proximity_count
group-1,proximity,B,D,165,0.179019384,proximity_count
group-1,proximity,C,D,156,0.168757127,proximity_count
group-2,proximity,A,B,295,0.327251995,proximity_count
group-2,proximity,A,C,165,0.179019384,proximity_count
group-2,proximity,A,D,124,0.132269099,proximity_count
group-2,proximity,B,C,222,0.244013683,proximity_count
group-2,proximity,B,D,291,0.322690992,proximity_count
group-2,proximity,C,D,323,0.359179019,proximity_count
group-3,proximity,A,B,706,0.795895097,proximity_count
group-3,proximity,A,C,15,0.007981756,proximity_count
group-3,proximity,A,D,885,1.0,proximity_count
group-3,proximity,B,C,8,0.0,proximity_count
group-3,proximity,B,D,643,0.724059293,proximity_count
group-3,proximity,C,D,152,0.164196123,proximity_count
group-4,proximity,A,B,222,0.244013683,proximity_count
group-4,proximity,A,C,273,0.302166477,proximity_count
group-4,proximity,A,D,348,0.387685291,proximity_count
group-4,proximity,B,C,95,0.099201824,proximity_count
group-4,proximity,B,D,627,0.705815279,proximity_count
group-4,proximity,C,D,11,0.003420753,proximity_count
group-5,proximity,A,B,103,0.108323831,proximity_count
group-5,proximity,A,C,95,0.099201824,proximity_count
group-5,proximity,A,D,141,0.151653364,proximity_count
group-5,proximity,B,C,51,0.049030787,proximity_count
group-5,proximity,B,D,119,0.126567845,proximity_count
group-5,proximity,C,D,146,0.157354618,proximity_count
group-6,proximity,A,B,140,0.150513113,proximity_count
group-6,proximity,A,C,152,0.164196123,proximity_count
group-6,proximity,A,D,132,0.141391106,proximity_count
group-6,proximity,B,C,175,0.190421893,proximity_count
group-6,proximity,B,D,143,0.153933865,proximity_count
group-6,proximity,C,D,75,0.076396807,proximity_count
group-7,proximity,A,B,54,0.052451539,proximity_count
group-7,proximity,A,C,48,0.045610034,proximity_count
group-7,proximity,A,D,91,0.094640821,proximity_count
group-7,proximity,B,C,120,0.127708096,proximity_count
group-7,proximity,B,D,23,0.017103763,proximity_count
group-7,proximity,C,D,114,0.120866591,proximity_count
group-8,proximity,A,B,258,0.285062714,proximity_count
group-8,proximity,A,C,66,0.06613455,proximity_count
group-8,proximity,A,D,212,0.232611174,proximity_count
group-8,proximity,B,C,73,0.074116306,proximity_count
group-8,proximity,B,D,112,0.118586089,proximity_count
group-8,proximity,C,D,148,0.15963512,proximity_count
group-9,proximity,A,B,263,0.290763968,proximity_count
group-9,proximity,A,C,106,0.111744584,proximity_count
group-9,proximity,A,D,195,0.21322691,proximity_count
group-9,proximity,B,C,49,0.046750285,proximity_count
group-9,proximity,B,D,171,0.185860889,proximity_count
group-9,proximity,C,D,257,0.283922463,proximity_count
group-10,proximity,A,B,84,0.086659065,proximity_count
group-10,proximity,A,C,44,0.041049031,proximity_count
group-10,proximity,A,D,129,0.137970353,proximity_count
group-10,proximity,B,C,16,0.009122007,proximity_count
group-10,proximity,B,D,89,0.092360319,proximity_count
group-10,proximity,C,D,48,0.045610034,proximity_count
group-11,proximity,A,B,182,0.198403649,proximity_count
group-11,proximity,A,C,187,0.204104903,proximity_count
group-11,proximity,A,D,113,0.11972634,proximity_count
group-11,proximity,B,C,240,0.264538198,proximity_count
group-11,proximity,B,D,115,0.122006842,proximity_count
group-11,proximity,C,D,161,0.174458381,proximity_count
group-12,proximity,A,B,24,0.018244014,proximity_count
group-12,proximity,A,C,41,0.037628278,proximity_count
group-12,proximity,A,D,230,0.25313569,proximity_count
group-12,proximity,B,C,243,0.267958951,proximity_count
group-12,proximity,B,D,48,0.045610034,proximity_count
group-12,proximity,C,D,13,0.005701254,proximity_count
