Group ID,Graph Type,Source,Target,Weight,Weight-normalized,Relation
group-1,shared_attention,B,D,188,0.079854809,shared_attention
group-1,shared_attention,B,A,600,0.266787659,shared_attention
group-1,shared_attention,B,C,440,0.194192377,shared_attention
group-1,shared_attention,D,A,104,0.041742287,shared_attention
group-1,shared_attention,D,C,204,0.087114338,shared_attention
group-1,shared_attention,A,C,552,0.245009074,shared_attention
group-2,shared_attention,B,D,188,0.079854809,shared_attention
group-2,shared_attention,B,A,504,0.22323049,shared_attention
group-2,shared_attention,B,C,596,0.264972777,shared_attention
group-2,shared_attention,D,A,196,0.083484574,shared_attention
group-2,shared_attention,D,C,180,0.076225045,shared_attention
group-2,shared_attention,A,C,640,0.284936479,shared_attention
group-3,shared_attention,B,D,1516,0.682395644,shared_attention
group-3,shared_attention,B,A,2196,0.99092559,shared_attention
group-3,shared_attention,B,C,1816,0.818511797,shared_attention
group-3,shared_attention,D,A,2216,1.0,shared_attention
group-3,shared_attention,D,C,1556,0.700544465,shared_attention
group-3,shared_attention,A,C,2096,0.945553539,shared_attention
group-4,shared_attention,B,D,428,0.188747731,shared_attention
group-4,shared_attention,B,A,428,0.188747731,shared_attention
group-4,shared_attention,B,C,528,0.234119782,shared_attention
group-4,shared_attention,D,A,392,0.172413793,shared_attention
group-4,shared_attention,D,C,424,0.186932849,shared_attention
group-4,shared_attention,A,C,564,0.250453721,shared_attention
group-5,shared_attention,B,D,96,0.038112523,shared_attention
group-5,shared_attention,B,A,104,0.041742287,shared_attention
group-5,shared_attention,B,C,152,0.063520871,shared_attention
group-5,shared_attention,D,A,40,0.012704174,shared_attention
group-5,shared_attention,D,C,144,0.059891107,shared_attention
group-5,shared_attention,A,C,60,0.021778584,shared_attention
group-6,shared_attention,B,D,132,0.054446461,shared_attention
group-6,shared_attention,B,A,132,0.054446461,shared_attention
group-6,shared_attention,B,C,256,0.110707804,shared_attention
group-6,shared_attention,D,A,68,0.025408348,shared_attention
group-6,shared_attention,D,C,140,0.058076225,shared_attention
group-6,shared_attention,A,C,144,0.059891107,shared_attention
group-7,shared_attention,B,D,234,0.100725953,shared_attention
group-7,shared_attention,B,A,611,0.271778584,shared_attention
group-7,shared_attention,B,C,812,0.362976407,shared_attention
group-7,shared_attention,D,A,189,0.08030853,shared_attention
group-7,shared_attention,D,C,248,0.10707804,shared_attention
group-7,shared_attention,A,C,384,0.168784029,shared_attention
group-8,shared_attention,B,D,336,0.147005445,shared_attention
group-8,shared_attention,B,A,740,0.33030853,shared_attention
group-8,shared_attention,B,C,204,0.087114338,shared_attention
group-8,shared_attention,D,A,620,0.275862069,shared_attention
group-8,shared_attention,D,C,344,0.150635209,shared_attention
group-8,shared_attention,A,C,384,0.168784029,shared_attention
group-9,shared_attention,B,D,940,0.421052632,shared_attention
group-9,shared_attention,B,A,444,0.19600726,shared_attention
group-9,shared_attention,B,C,876,0.392014519,shared_attention
group-9,shared_attention,D,A,416,0.183303085,shared_attention
group-9,shared_attention,D,C,788,0.352087114,shared_attention
group-9,shared_attention,A,C,448,0.197822142,shared_attention
group-10,shared_attention,B,D,20,0.003629764,shared_attention
group-10,shared_attention,B,C,24,0.005444646,shared_attention
group-10,shared_attention,D,A,68,0.025408348,shared_attention
group-10,shared_attention,D,C,12,0.0,shared_attention
group-10,shared_attention,C,A,44,0.014519056,shared_attention
group-11,shared_attention,B,D,32,0.00907441,shared_attention
group-11,shared_attention,B,A,64,0.023593466,shared_attention
group-11,shared_attention,B,C,56,0.019963702,shared_attention
group-11,shared_attention,D,A,108,0.043557169,shared_attention
group-11,shared_attention,D,C,140,0.058076225,shared_attention
group-11,shared_attention,A,C,212,0.090744102,shared_attention
group-12,shared_attention,B,D,612,0.272232305,shared_attention
group-12,shared_attention,B,A,768,0.343012704,shared_attention
group-12,shared_attention,B,C,564,0.250453721,shared_attention
group-12,shared_attention,D,A,656,0.292196007,shared_attention
group-12,shared_attention,D,C,616,0.274047187,shared_attention
group-12,shared_attention,A,C,696,0.310344828,shared_attention
